ID,Input,Output,Food Bank Name
P001,3rd Sunday 1:00 p.m. - 2:30 p.m. ,"Program,Sunday,13:00,14:30,,,,,,,3.0,Day of Month,,,",Baton Rouge
P002,3rd Wednesday 10:00 a.m. - 11:30 a.m. ,"Program,Wednesday,10:00,11:30,,,,,,,3.0,Day of Month,,,",Baton Rouge
P003,Monday - Friday 8:00-4:00 p.m. ,"Program,Monday,8:00,16:00,,,,,,,,Weekly,,,;Program,Tuesday,8:00,16:00,,,,,,,,Weekly,,,;Program,Wednesday,8:00,16:00,,,,,,,,Weekly,,,;Program,Thursday,8:00,16:00,,,,,,,,Weekly,,,;Program,Friday,8:00,16:00,,,,,,,,Weekly,,,",Baton Rouge
P004,2nd & 4th Wednesday 9:00 a.m. -11:00 a.m.,"Program,Wednesday,9:00,11:00,,,,,,,2.0,Day of Month,,,;Program,Wednesday,9:00,11:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P005,"Every Tues, Wed, & Thurs. 10:00 a.m. - 12:30 p.m.","Program,Tuesday,10:00,12:30,,,,,,,,Weekly,,,;Program,Wednesday,10:00,12:30,,,,,,,,Weekly,,,;Program,Thursday,10:00,12:30,,,,,,,,Weekly,,,",Baton Rouge
P006,"2nd Friday/ 2nd Saturday of month, 8:00 a.m. - 11:00 a.m.","Program,Saturday,8:00,11:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P007,3rd Saturday 8:00-10:00 a.m. ,"Program,Saturday,8:00,10:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P008,3rd Saturday 9:00 a.m. - 12:00 p.m. ,"Program,Saturday,9:00,12:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P009,1st and 3rd Monday 7:30 a.m. - 9:00 a.m.,"Program,Monday,7:30,9:00,,,,,,,1.0,Day of Month,,,;Program,Monday,7:30,9:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P010,3rd Wednesday 9:00 a.m. - 2:00 p.m.,"Program,Wednesday,9:00,14:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P011,1st Saturday 8:00-12:00 p.m. ,"Program,Saturday,8:00,12:00,,,,,,,1.0,Day of Month,,,",Baton Rouge
P012,Monday - Friday 8:00 a.m. - 4:00 p.m. Pantry closed 3rd Wed - Fri.,"Program,Monday,8:00,16:00,,,,,,,,Weekly,,,;Program,Tuesday,8:00,16:00,,,,,,,,Weekly,,,;Program,Wednesday,8:00,16:00,,,,,Pantry closed 3rd Wednesday of the month.,,,Weekly,,,;Program,Thursday,8:00,16:00,,,,,Pantry closed 3rd Thursday of the month.,,,Weekly,,,;Program,Friday,8:00,16:00,,,,,Pantry closed 3rd Friday of the month.,,,Weekly,,,",Baton Rouge
P013,"Tues., Wed., & Thurs. 9:00 a.m. - 4:00 p.m.  ","Program,Tuesday,9:00,16:00,,,,,,,,Weekly,,,;Program,Wednesday,9:00,16:00,,,,,,,,Weekly,,,;Program,Thursday,9:00,16:00,,,,,,,,Weekly,,,",Baton Rouge
P014,Monday - Thursday 8:00 a.m. - 3:00 p.m. & Friday 8:00 a.m. - 12 p.m. ,"Program,Monday,8:00,15:00,,,,,,,,Weekly,,,;Program,Tuesday,8:00,15:00,,,,,,,,Weekly,,,;Program,Wednesday,8:00,15:00,,,,,,,,Weekly,,,;Program,Thursday,8:00,15:00,,,,,,,,Weekly,,,;Program,Friday,8:00,12:00,,,,,,,,Weekly,,,",Baton Rouge
P015,7 Days a week ,"Program,,,,,,,,24/7 Emergency Assistance,,,Call for Information,,,",Baton Rouge
P016,2nd Friday 8:00 a.m. - 10:00 a.m.,"Program,Friday,8:00,10:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P017,"Distribution 1st, 2nd, & 3rd Tuesday - Friday of the month 9:30 a.m. -11:30 a.m. & 1:30-3:30pm. Distributes perishable goods to patrons of the Senior Center 60 and older. ","Program,Tuesday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,1.0,Day of Month,,,;Program,Tuesday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,2.0,Day of Month,,,;Program,Tuesday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,3.0,Day of Month,,,;Program,Friday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,1.0,Day of Month,,,;Program,Friday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,2.0,Day of Month,,,;Program,Friday,9:30,11:30,13:30,15:30,,,Distributes perishable goods to patrons of the Senior Center 60 and older. ,,3.0,Day of Month,,,",Baton Rouge
P018,3rd Wednesday 8:00 a.m. - 12:00 p.m.,"Program,Wednesday,8:00,12:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P019,Monday - Thursday 9:00 a.m. -1:30 p.m. / Friday 9:30 a.m. - 11:30 a.m. ,"Program,Monday,9:00,13:30,,,,,,,,Weekly,,,;Program,Tuesday,9:00,13:30,,,,,,,,Weekly,,,;Program,Wednesday,9:00,13:30,,,,,,,,Weekly,,,;Program,Thursday,9:00,13:30,,,,,,,,Weekly,,,;Program,Friday,9:30,11:30,,,,,,,,Weekly,,,",Baton Rouge
P020,Monday & Wednesday every week 11:00 a.m. - 12:00 p.m. ,"Program,Monday,11:00,12:00,,,,,,,,Weekly,,,;Program,Wednesday,11:00,12:00,,,,,,,,Weekly,,,",Baton Rouge
P021,Every Thursday 8:00 a.m. - 4:00 p.m.,"Program,Thursday,8:00,16:00,,,,,,,,Weekly,,,",Baton Rouge
P022,2nd Tuesday 8:00 a.m. - 9:00 a.m.,"Program,Tuesday,8:00,9:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P023,2nd and 4th Monday 11:00 a.m. - 12:00 p.m.,"Program,Monday,11:00,12:00,,,,,,,2.0,Day of Month,,,;Program,Monday,11:00,12:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P024,2nd and 4th Wednesday 8:00 a.m. - 10:30 a.m.,"Program,Wednesday,8:00,10:30,,,,,,,2.0,Day of Month,,,;Program,Wednesday,8:00,10:30,,,,,,,4.0,Day of Month,,,",Baton Rouge
P025,Monday and Friday 10:00 a.m. -12:00 p.m. ,"Program,Monday,10:00,12:00,,,,,,,,Weekly,,,;Program,Friday,10:00,12:00,,,,,,,,Weekly,,,",Baton Rouge
P026,1st Wednesday 9:00 a.m. - 12:00 p.m. ,"Program,Wednesday,9:00,12:00,,,,,,,1.0,Day of Month,,,",Baton Rouge
P027,Every 1st Saturday of month 7:30 a.m. - 9:30 a.m.,"Program,Saturday,7:30,9:30,,,,,,,1.0,Day of Month,,,",Baton Rouge
P028,3rd Saturday 10:00 a.m. - 12:00 p.m.,"Program,Saturday,10:00,12:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P029,2nd Saturday 9:00 a.m. - 10:30 a.m. ,"Program,Saturday,9:00,10:30,,,,,,,2.0,Day of Month,,,",Baton Rouge
P030,2nd Tuesday 9:00 a.m. - 11:00 a.m.,"Program,Tuesday,9:00,11:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P031,1st & last Sunday each month,"Program,Sunday,,,,,,,,,1.0,Day of Month,,,;Program,Sunday,,,,,,,,,5.0,Day of Month,,,",Baton Rouge
P032,Monday - Friday 12:00 p.m. - 1:00 p.m.,"Program,Monday,12:00,13:00,,,,,,,,Weekly,,,;Program,Tuesday,12:00,13:00,,,,,,,,Weekly,,,;Program,Wednesday,12:00,13:00,,,,,,,,Weekly,,,;Program,Thursday,12:00,13:00,,,,,,,,Weekly,,,;Program,Friday,12:00,13:00,,,,,,,,Weekly,,,",Baton Rouge
P033,Monday - Friday 9:00 a.m. - 11:00 a.m.,"Program,Monday,9:00,11:00,,,,,,,,Weekly,,,;Program,Tuesday,9:00,11:00,,,,,,,,Weekly,,,;Program,Wednesday,9:00,11:00,,,,,,,,Weekly,,,;Program,Thursday,9:00,11:00,,,,,,,,Weekly,,,;Program,Friday,9:00,11:00,,,,,,,,Weekly,,,;Program,Monday,9:00,11:00,,,,,,,,Weekly,,,;Program,Tuesday,9:00,11:00,,,,,,,,Weekly,,,;Program,Wednesday,9:00,11:00,,,,,,,,Weekly,,,;Program,Thursday,9:00,11:00,,,,,,,,Weekly,,,;Program,Friday,9:00,11:00,,,,,,,,Weekly,,,",Baton Rouge
P034,Monday & Wednesday 8:00 a.m. - 10:30 a.m. (Friday only serve 60 and physically disabled 8:00 a.m. - 10:30 a.m.),"Program,Monday,8:00,10:30,,,,,,,,Weekly,,,;Program,Wednesday,8:00,10:30,,,,,,,,Weekly,,,;Program,Friday,8:00,10:30,,,,,Only serve 60 and physically disabled,,,Weekly,,,",Baton Rouge
P035,3rd Wednesday 8:30 a.m. - 12:30 p.m.,"Program,Wednesday,8:30,12:30,,,,,,,3.0,Day of Month,,,",Baton Rouge
P036,4th Friday 10:00 - 12:00 p.m.,"Program,Friday,10:00,12:00,,,,,,,4.0,Day of Month,,,;Program,Friday,10:00,12:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P037,1st and 3rd Tuesday 8:00 a.m - 11:00 a.m. ,"Program,Tuesday,8:00,11:00,,,,,,,1.0,Day of Month,,,;Program,Tuesday,8:00,11:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P038,3rd Saturday 8:00-10:00 a.m. ,"Program,Saturday,8:00,10:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P039,1st and 3rd Tuesday 10:00 a.m. - 12:00 p.m.,"Program,Tuesday,10:00,12:00,,,,,,,1.0,Day of Month,,,;Program,Tuesday,10:00,12:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P040,2nd Monday and Tuesday 8:00 a.m. - 9:30 a.m. ,"Program,Monday,8:00,9:30,,,,,,,2.0,Day of Month,,,;Program,Tuesday,8:00,9:30,,,,,,,2.0,Day of Month,,,",Baton Rouge
P041,"1st Thursday/Friday A-F, 2nd Thursday/Friday G-M, 3rd Thursday/Friday N-S, & 4th Thursday/Friday T-Z    10:00 a.m. - 1 p.m. ","Program,Thursday,10:00,13:00,,,,,Last names A-F,,1.0,Day of Month,,,;Program,Friday,10:00,13:00,,,,,Last names A-F,,1.0,Day of Month,,,;Program,Thursday,10:00,13:00,,,,,Last names G-M,,2.0,Day of Month,,,;Program,Friday,10:00,13:00,,,,,Last names G-M,,2.0,Day of Month,,,;Program,Thursday,10:00,13:00,,,,,Last names N-S,,3.0,Day of Month,,,;Program,Friday,10:00,13:00,,,,,Last names N-S,,3.0,Day of Month,,,;Program,Thursday,10:00,13:00,,,,,Last names T-Z,,4.0,Day of Month,,,;Program,Friday,10:00,13:00,,,,,Last names T-Z,,4.0,Day of Month,,,",Baton Rouge
P042,3rd Thursday 3:00 p.m. - 5:00 p.m.,"Program,Thursday,15:00,17:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P043,Last Saturday of the month/ 9:00 a.m. - 10:00 a.m.,"Program,Saturday,9:00,10:00,,,,,,,5.0,Day of Month,,,",Baton Rouge
P044,2nd Wednesday 8:00 a.m. - 9:30 a.m.,"Program,Wednesday,8:00,9:30,,,,,,,2.0,Day of Month,,,",Baton Rouge
P045,Monday - Thursday 7:30 a.m. - 4:30 p.m.  Friday 7:30 a.m. - 2:00 p.m.,"Program,Monday,7:30,16:30,,,,,,,,Weekly,,,;Program,Tuesday,7:30,16:30,,,,,,,,Weekly,,,;Program,Wednesday,7:30,16:30,,,,,,,,Weekly,,,;Program,Thursday,7:30,16:30,,,,,,,,Weekly,,,;Program,Friday,7:30,14:30,,,,,,,,Weekly,,,",Baton Rouge
P046,2nd Thursday  A-L  3rd Wednesday  M-Z    8:00 a.m. - 4:00 p.m.,"Program,Thursday,8:00,16:00,,,,,Last names A-L,,2.0,Day of Month,,,;Program,Wednesday,8:00,16:00,,,,,Last names M-Z,,3.0,Day of Month,,,",Baton Rouge
P047,Monday - Thursday 11:00 a.m. - 6:00 p.m.&  Friday 11:00 a.m. - 4:30 p.m. (Semester Hours) / M/W/F 11:00 a.m. - 2:00 p.m. & T/Th 11:00 a.m. - 4:30 p.m. (Summer Hours) ,"Program,Monday,11:00,18:00,,,,,Semester Hours,,,Weekly,,,;Program,Tuesday,11:00,18:00,,,,,Semester Hours,,,Weekly,,,;Program,Wednesday,11:00,18:00,,,,,Semester Hours,,,Weekly,,,;Program,Thursday,11:00,18:00,,,,,Semester Hours,,,Weekly,,,;Program,Friday,11:00,16:30,,,,,Semester Hours,,,Weekly,,,;Program,Monday,11:00,14:00,,,,,Summer Hours,,,Weekly,,,;Program,Tuesday,11:00,16:30,,,,,Summer Hours,,,Weekly,,,;Program,Wednesday,11:00,14:00,,,,,Summer Hours,,,Weekly,,,;Program,Thursday,11:00,16:30,,,,,Summer Hours,,,Weekly,,,;Program,Friday,11:00,14:00,,,,,Summer Hours,,,Weekly,,,",Baton Rouge
P048,2nd Wednesday  9:00 a.m. - 11:00 a.m. ,"Program,Wednesday,9:00,11:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P049,Tuesday and Thursday 10:00 a.m. - 1:00 p.m.,"Program,Tuesday,10:00,13:00,,,,,,,,Weekly,,,;Program,Thursday,10:00,13:00,,,,,,,,Weekly,,,",Baton Rouge
P050,24 hour residential facility with in house clients,"Program,,,,,,,,24/7 residential facility with in house clients,,,Call for Information,,,",Baton Rouge
P051,4th Friday 9:00 a.m. - 11:00 a.m. / Farm Fresh 2nd Thursday 10:30 - 12:00 pm,"Program,Thursday,9:00,11:00,,,,,,,2.0,Day of Month,,,;Program,Friday,10:30,12:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P052,Every Thursday 9:00 a.m. - 11:00 a.m.,"Program,Thursday,9:00,11:00,,,,,,,,Weekly,,,",Baton Rouge
P053,2nd Tuesday 10:00 a.m. - 12:00 p.m.,"Program,Tuesday,10:00,12:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P054,2nd Friday 1:00 p.m. - 4:00 p.m.  ,"Program,Friday,13:00,16:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P055,2nd Monday 10:00 a.m. - 1:00 p.m.,"Program,Monday,10:00,13:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P056,LAST FRIDAY OF THE MONTH (5TH Fri)  4:00 - 7:00 pm ALL IN ALL OUT,"Program,Friday,16:00,19:00,,,,,,,5.0,Day of Month,,,",Baton Rouge
P057,8:00am-10:00pm 24hours /7 days a week,"Program,Monday,8:00,10:00,,,,,,,,Weekly,,,;Program,Tuesday,8:00,10:00,,,,,,,,Weekly,,,;Program,Wednesday,8:00,10:00,,,,,,,,Weekly,,,;Program,Thursday,8:00,10:00,,,,,,,,Weekly,,,;Program,Friday,8:00,10:00,,,,,,,,Weekly,,,;Program,Saturday,8:00,10:00,,,,,,,,Weekly,,,;Program,Sunday,8:00,10:00,,,,,,,,Weekly,,,",Baton Rouge
P058,Tuesdays & Thursdays 8:00 a.m. - 10:00 a.m. ,"Program,Tuesday,8:00,10:00,,,,,,,,Weekly,,,;Program,Thursday,8:00,10:00,,,,,,,,Weekly,,,",Baton Rouge
P059,3rd Thursday 7:00-12:00 p.m.,"Program,Thursday,19:00,23:59,,,,,,,3.0,Day of Month,,,",Baton Rouge
P060,Monday 9:00am-10:30am,"Program,Monday,9:00,10:30,,,,,,,,Weekly,,,",Baton Rouge
P061,1st and 3rd Saturday 9:00 a.m. - 11:00 a.m.,"Program,Saturday,9:00,11:00,,,,,,,1.0,Day of Month,,,;Program,Saturday,9:00,11:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P062,2nd and 4th Thursday 9:00 a.m. - 11:00 a.m.,"Program,Thursday,9:00,11:00,,,,,,,2.0,Day of Month,,,;Program,Thursday,9:00,11:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P063,1st and 3rd Saturday 10:00 a.m. - 1:30 p.m.,"Program,Saturday,10:00,13:30,,,,,,,1.0,Day of Month,,,;Program,Saturday,10:00,13:30,,,,,,,3.0,Day of Month,,,",Baton Rouge
P064,2nd and 4th Tuesdays 8:00 a.m. to 10 a.m.,"Program,Tuesday,8:00,10:00,,,,,,,2.0,Day of Month,,,;Program,Tuesday,8:00,10:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P065,3rd Saturday 8:00 a.m. - 11:00 a.m.,"Program,Saturday,8:00,11:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P066,Monday - Thursday 10:00 a.m. - 12:00 p.m.,"Program,Monday,10:00,12:00,,,,,,,,Weekly,,,;Program,Tuesday,10:00,12:00,,,,,,,,Weekly,,,;Program,Wednesday,10:00,12:00,,,,,,,,Weekly,,,;Program,Thursday,10:00,12:00,,,,,,,,Weekly,,,",Baton Rouge
P067,Monday - Thursday 11:00 a.m. - 7:00 p.m.,"Program,Monday,11:00,19:00,,,,,,,,Weekly,,,;Program,Tuesday,11:00,19:00,,,,,,,,Weekly,,,;Program,Wednesday,11:00,19:00,,,,,,,,Weekly,,,;Program,Thursday,11:00,19:00,,,,,,,,Weekly,,,",Baton Rouge
P068,1st Thursday 10:00 a.m. - 12:00 p.m.,"Program,Thursday,10:00,12:00,,,,,,,1.0,Day of Month,,,",Baton Rouge
P069,Wednesdays 9:00 a.m. - 11:00 a.m.,"Program,Wednesday,9:00,11:00,,,,,,,,Weekly,,,",Baton Rouge
P070,1st and 3rd Saturday from 8:30 a.m. - 10:30 a.m.,"Program,Saturday,8:30,10:30,,,,,,,1.0,Day of Month,,,;Program,Saturday,8:30,10:30,,,,,,,3.0,Day of Month,,,",Baton Rouge
P071,1st Thurs and sometimes 3rd Thursday 9:30 a.m. - 12:00 p.m.,"Program,Thursday,9:30,12:00,,,,,,,1.0,Day of Month,,,",Baton Rouge
P072,"3rd Wednesday 7:00. a.m- 9:00 a.m. [Emergency boxes in Livonia at office of St. Frances Catholic Church, 3523 Hwy 78, Tuesday - Thursday 8:30 - 3:00 pm and Friday 8:30 - 12:00 pm.]","Program,Wednesday,7:00,9:00,,,,,,,3.0,Day of Month,,,;Program,Tuesday,8:30,15:00,,,,,Emergency boxes in Livonia at office of St. Frances Catholic Church, 3523 Hwy 78,,,Weekly,,,;Program,Wednesday,8:30,15:00,,,,,Emergency boxes in Livonia at office of St. Frances Catholic Church, 3523 Hwy 78,,,Weekly,,,;Program,Thursday,8:30,15:00,,,,,Emergency boxes in Livonia at office of St. Frances Catholic Church, 3523 Hwy 78,,,Weekly,,,;Program,Friday,8:30,12:00,,,,,Emergency boxes in Livonia at office of St. Frances Catholic Church, 3523 Hwy 78,,,Weekly,,,",Baton Rouge
P073,2nd Thursday 8:00-3:00 p.m.,"Program,Thursday,8:00,15:00,,,,,Seniors 65+,,2.0,Day of Month,,,",Baton Rouge
P074,2nd Thursday 4:00-6:00 p.m. ,"Program,Thursday,16:00,18:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P075,2nd Thursday 4:00-6:00 p.m. ,"Program,Thursday,16:00,18:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P076,2nd & 3rd Wednesday 8:30 a.m. - 10:30 a.m.,"Program,Wednesday,8:30,10:30,,,,,,,2.0,Day of Month,,,;Program,Wednesday,8:30,10:30,,,,,,,3.0,Day of Month,,,",Baton Rouge
P077,Last Sunday of each month. 8:00 - 9:00 a.m.  Hot prepared breakfast and food box,"Program,Sunday,8:00,9:00,,,,,Hot prepared breakfast and food box,,5.0,Day of Month,,,",Baton Rouge
P078,Monday-Thursday 9:00 a.m. - 3:30 p.m. ,"Program,Monday,9:00,15:30,,,,,,,,Weekly,,,;Program,Tuesday,9:00,15:30,,,,,,,,Weekly,,,;Program,Wednesday,9:00,15:30,,,,,,,,Weekly,,,;Program,Thursday,9:00,15:30,,,,,,,,Weekly,,,",Baton Rouge
P079,Mon-Thurs 9:30 am- 11:30 am,"Program,Monday,9:30,11:30,,,,,,,,Weekly,,,;Program,Tuesday,9:30,11:30,,,,,,,,Weekly,,,;Program,Thursday,9:30,11:30,,,,,,,,Weekly,,,;Program,Friday,9:30,11:30,,,,,,,,Weekly,,,",Baton Rouge
P080,2nd Monday of each Month 8:30 a.m. -10:30 a.m.,"Program,Monday,8:30,10:30,,,,,,,2.0,Day of Month,,,",Baton Rouge
P081,3rd Friday 9:00am-11:00am and on call,"Program,Friday,9:00,11:00,,,,,Available on call aswell,,3.0,Day of Month,,,",Baton Rouge
P082,4th Thursday 6:30 - 8:00 a.m. ,"Program,Thursday,6:30,8:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P083,3rd Saturday  10:00 a.m. - 12:00 p.m.,"Program,Saturday,10:00,12:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P084,"1st and 3rd Thursdays, 8:30am-11:00am","Program,Thursday,8:30,11:00,,,,,,,1.0,Day of Month,,,;Program,Thursday,8:30,11:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P085,Applications Only Monday and Tuesday 1 p.m.-4 p.m. / Distribution Wednesday 1:00 p.m. - 4:00 p.m.,"Program,Monday,13:00,16:00,,,,,Applicants Only,,,Weekly,,,;Program,Tuesday,13:00,16:00,,,,,Applicants Only,,,Weekly,,,;Program,Wednesday,13:00,16:00,,,,,Distribution,,,Weekly,,,",Baton Rouge
P086,Tuesdays 9:00 a.m.-12:00 p.m.,"Program,Tuesday,9:00,12:00,,,,,,,,Weekly,,,",Baton Rouge
P087,"Tuesday, Wednesday 10:00-3:00 Friday 10:00-1:00","Program,Tuesday,10:00,15:00,,,,,,,,Weekly,,,;Program,Wednesday,10:00,15:00,,,,,,,,Weekly,,,;Program,Friday,10:00,13:00,,,,,,,,Weekly,,,",Baton Rouge
P088,1st & 3rd Thursday 1:00-4:00 p.m. ,"Program,Thursday,13:00,16:00,,,,,,,1.0,Day of Month,,,;Program,Thursday,13:00,16:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P089,Tuesdays & Thursdays 12:00 - 2:00 p.m.,"Program,Tuesday,12:00,14:00,,,,,,,,Weekly,,,;Program,Thursday,12:00,14:00,,,,,,,,Weekly,,,",Baton Rouge
P090,4th Saturday  9:00 a.m. - 11:00 a.m.,"Program,Saturday,9:00,11:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P091,3rd Thursday  3:00-5:00 p.m.,"Program,Thursday,15:00,17:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P092,4th Saturday 9:00 a.m. - 11:00 a.m.,"Program,Saturday,9:00,11:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P093,2nd Tuesday 8:00 a.m. - 2:00 p.m.,"Program,Tuesday,8:00,14:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P094,Monday - Friday 7:30 a.m. - 3:30 p.m. ,"Program,Monday,7:30,15:30,,,,,,,,Weekly,,,;Program,Tuesday,7:30,15:30,,,,,,,,Weekly,,,;Program,Wednesday,7:30,15:30,,,,,,,,Weekly,,,;Program,Thursday,7:30,15:30,,,,,,,,Weekly,,,;Program,Friday,7:30,15:30,,,,,,,,Weekly,,,",Baton Rouge
P095,Friday 8:00 a.m. - 12:00 p.m.,"Program,Friday,8:00,12:00,,,,,,,,Weekly,,,",Baton Rouge
P096,1st and 3rd Thursday 9:30 a.m. - 2:00 p.m. ,"Program,Thursday,9:30,14:00,,,,,,,1.0,Day of Month,,,;Program,Thursday,9:30,14:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P097,2nd and 3rd Saturday 8:00 a.m. - 12:00 p.m.,"Program,Saturday,8:00,12:00,,,,,,,2.0,Day of Month,,,;Program,Saturday,8:00,12:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P098,1st and 3rd Friday 7:00 a.m. - 11:00 a.m.,"Program,Friday,7:00,11:00,,,,,,,1.0,Day of Month,,,;Program,Friday,7:00,11:00,,,,,,,3.0,Day of Month,,,",Baton Rouge
P099,2nd Friday 10:00 a.m. - 12:00 p.m. ,"Program,Friday,10:00,12:00,,,,,,,2.0,Day of Month,,,",Baton Rouge
P100,Tuesday 8:00 a.m. - 11:00 a.m.,"Program,Tuesday,8:00,11:00,,,,,,,,Weekly,,,",Baton Rouge
P101,2nd Friday 8:00-9:30 a.m. ,"Program,Friday,8:00,9:30,,,,,,,2.0,Day of Month,,,",Baton Rouge
P102,2nd Wednesday 8:00-9:30 a.m. ,"Program,Wednesday,8:00,9:30,,,,,,,2.0,Day of Month,,,",Baton Rouge
P103,3rd Monday 8:00-9:00 a.m. ,"Program,Monday,8:00,9:30,,,,,,,3.0,Day of Month,,,",Baton Rouge
P104,3rd Wednesday 8:00-9:30 a.m. ,"Program,Wednesday,8:00,9:30,,,,,,,3.0,Day of Month,,,",Baton Rouge
P105,4th Wednesday 10:00-11:00 a.m. ,"Program,Wednesday,10:00,11:00,,,,,,,4.0,Day of Month,,,",Baton Rouge
P106,4th Friday 8:00-9:30 a.m. ,"Program,Friday,8:00,9:30,,,,,,,4.0,Day of Month,,,",Baton Rouge
